1_Q1,1_Q3,1_Q4,1_Q5,1_Q6,1_Q7,1_Q8,1_Q9,1_Q10,1_Q11,1_Q12,1_Q13,1_Q22,2_Q1,2_Q3,2_Q4,2_Q5,2_Q6,2_Q7,2_Q8,2_Q9,2_Q10,2_Q11,2_Q12,2_Q13,2_Q22,3_Q1,3_Q3,3_Q4,3_Q5,3_Q6,3_Q7,3_Q8,3_Q9,3_Q10,3_Q11,3_Q12,3_Q13,3_Q22,4_Q1,4_Q3,4_Q4,4_Q5,4_Q6,4_Q7,4_Q8,4_Q9,4_Q10,4_Q11,4_Q12,4_Q13,4_Q22,5_Q1,5_Q3,5_Q4,5_Q5,5_Q6,5_Q7,5_Q8,5_Q9,5_Q10,5_Q11,5_Q12,5_Q13,5_Q22,6_Q1,6_Q3,6_Q4,6_Q5,6_Q6,6_Q7,6_Q8,6_Q9,6_Q10,6_Q11,6_Q12,6_Q13,6_Q22,7_Q1,7_Q3,7_Q4,7_Q5,7_Q6,7_Q7,7_Q8,7_Q9,7_Q10,7_Q11,7_Q12,7_Q13,7_Q22,8_Q1,8_Q3,8_Q4,8_Q5,8_Q6,8_Q7,8_Q8,8_Q9,8_Q10,8_Q11,8_Q12,8_Q13,8_Q22,9_Q1,9_Q3,9_Q4,9_Q5,9_Q6,9_Q7,9_Q8,9_Q9,9_Q10,9_Q11,9_Q12,9_Q13,9_Q22,10_Q1,10_Q3,10_Q4,10_Q5,10_Q6,10_Q7,10_Q8,10_Q9,10_Q10,10_Q11,10_Q12,10_Q13,10_Q22,11_Q1,11_Q3,11_Q4,11_Q5,11_Q6,11_Q7,11_Q8,11_Q9,11_Q10,11_Q11,11_Q12,11_Q13,11_Q22,12_Q1,12_Q3,12_Q4,12_Q5,12_Q6,12_Q7,12_Q8,12_Q9,12_Q10,12_Q11,12_Q12,12_Q13,12_Q22,13_Q1,13_Q3,13_Q4,13_Q5,13_Q6,13_Q7,13_Q8,13_Q9,13_Q10,13_Q11,13_Q12,13_Q13,13_Q22,14_Q1,14_Q3,14_Q4,14_Q5,14_Q6,14_Q7,14_Q8,14_Q9,14_Q10,14_Q11,14_Q12,14_Q13,14_Q22,15_Q1,15_Q3,15_Q4,15_Q5,15_Q6,15_Q7,15_Q8,15_Q9,15_Q10,15_Q11,15_Q12,15_Q13,15_Q22,16_Q1,16_Q3,16_Q4,16_Q5,16_Q6,16_Q7,16_Q8,16_Q9,16_Q10,16_Q11,16_Q12,16_Q13,16_Q22,17_Q1,17_Q3,17_Q4,17_Q5,17_Q6,17_Q7,17_Q8,17_Q9,17_Q10,17_Q11,17_Q12,17_Q13,17_Q22,18_Q1,18_Q3,18_Q4,18_Q5,18_Q6,18_Q7,18_Q8,18_Q9,18_Q10,18_Q11,18_Q12,18_Q13,18_Q22,19_Q1,19_Q3,19_Q4,19_Q5,19_Q6,19_Q7,19_Q8,19_Q9,19_Q10,19_Q11,19_Q12,19_Q13,19_Q22,20_Q1,20_Q3,20_Q4,20_Q5,20_Q6,20_Q7,20_Q8,20_Q9,20_Q10,20_Q11,20_Q12,20_Q13,20_Q22,21_Q1,21_Q3,21_Q4,21_Q5,21_Q6,21_Q7,21_Q8,21_Q9,21_Q10,21_Q11,21_Q12,21_Q13,21_Q22,22_Q1,22_Q3,22_Q4,22_Q5,22_Q6,22_Q7,22_Q8,22_Q9,22_Q10,22_Q11,22_Q12,22_Q13,22_Q22,23_Q1,23_Q3,23_Q4,23_Q5,23_Q6,23_Q7,23_Q8,23_Q9,23_Q10,23_Q11,23_Q12,23_Q13,23_Q22,24_Q1,24_Q3,24_Q4,24_Q5,24_Q6,24_Q7,24_Q8,24_Q9,24_Q10,24_Q11,24_Q12,24_Q13,24_Q22,25_Q1,25_Q3,25_Q4,25_Q5,25_Q6,25_Q7,25_Q8,25_Q9,25_Q10,25_Q11,25_Q12,25_Q13,25_Q22,26_Q1,26_Q3,26_Q4,26_Q5,26_Q6,26_Q7,26_Q8,26_Q9,26_Q10,26_Q11,26_Q12,26_Q13,26_Q22,27_Q1,27_Q3,27_Q4,27_Q5,27_Q6,27_Q7,27_Q8,27_Q9,27_Q10,27_Q11,27_Q12,27_Q13,27_Q22,28_Q1,28_Q3,28_Q4,28_Q5,28_Q6,28_Q7,28_Q8,28_Q9,28_Q10,28_Q11,28_Q12,28_Q13,28_Q22,29_Q1,29_Q3,29_Q4,29_Q5,29_Q6,29_Q7,29_Q8,29_Q9,29_Q10,29_Q11,29_Q12,29_Q13,29_Q22,30_Q1,30_Q3,30_Q4,30_Q5,30_Q6,30_Q7,30_Q8,30_Q9,30_Q10,30_Q11,30_Q12,30_Q13,30_Q22,31_Q1,31_Q3,31_Q4,31_Q5,31_Q6,31_Q7,31_Q8,31_Q9,31_Q10,31_Q11,31_Q12,31_Q13,31_Q22,32_Q1,32_Q3,32_Q4,32_Q5,32_Q6,32_Q7,32_Q8,32_Q9,32_Q10,32_Q11,32_Q12,32_Q13,32_Q22,33_Q1,33_Q3,33_Q4,33_Q5,33_Q6,33_Q7,33_Q8,33_Q9,33_Q10,33_Q11,33_Q12,33_Q13,33_Q22,34_Q1,34_Q3,34_Q4,34_Q5,34_Q6,34_Q7,34_Q8,34_Q9,34_Q10,34_Q11,34_Q12,34_Q13,34_Q22,35_Q1,35_Q3,35_Q4,35_Q5,35_Q6,35_Q7,35_Q8,35_Q9,35_Q10,35_Q11,35_Q12,35_Q13,35_Q22,36_Q1,36_Q3,36_Q4,36_Q5,36_Q6,36_Q7,36_Q8,36_Q9,36_Q10,36_Q11,36_Q12,36_Q13,36_Q22,37_Q1,37_Q3,37_Q4,37_Q5,37_Q6,37_Q7,37_Q8,37_Q9,37_Q10,37_Q11,37_Q12,37_Q13,37_Q22,38_Q1,38_Q3,38_Q4,38_Q5,38_Q6,38_Q7,38_Q8,38_Q9,38_Q10,38_Q11,38_Q12,38_Q13,38_Q22,39_Q1,39_Q3,39_Q4,39_Q5,39_Q6,39_Q7,39_Q8,39_Q9,39_Q10,39_Q11,39_Q12,39_Q13,39_Q22,40_Q1,40_Q3,40_Q4,40_Q5,40_Q6,40_Q7,40_Q8,40_Q9,40_Q10,40_Q11,40_Q12,40_Q13,40_Q22,41_Q1,41_Q3,41_Q4,41_Q5,41_Q6,41_Q7,41_Q8,41_Q9,41_Q10,41_Q11,41_Q12,41_Q13,41_Q22,42_Q1,42_Q3,42_Q4,42_Q5,42_Q6,42_Q7,42_Q8,42_Q9,42_Q10,42_Q11,42_Q12,42_Q13,42_Q22,43_Q1,43_Q3,43_Q4,43_Q5,43_Q6,43_Q7,43_Q8,43_Q9,43_Q10,43_Q11,43_Q12,43_Q13,43_Q22,44_Q1,44_Q3,44_Q4,44_Q5,44_Q6,44_Q7,44_Q8,44_Q9,44_Q10,44_Q11,44_Q12,44_Q13,44_Q22,45_Q1,45_Q3,45_Q4,45_Q5,45_Q6,45_Q7,45_Q8,45_Q9,45_Q10,45_Q11,45_Q12,45_Q13,45_Q22,46_Q1,46_Q3,46_Q4,46_Q5,46_Q6,46_Q7,46_Q8,46_Q9,46_Q10,46_Q11,46_Q12,46_Q13,46_Q22,47_Q1,47_Q3,47_Q4,47_Q5,47_Q6,47_Q7,47_Q8,47_Q9,47_Q10,47_Q11,47_Q12,47_Q13,47_Q22,48_Q1,48_Q3,48_Q4,48_Q5,48_Q6,48_Q7,48_Q8,48_Q9,48_Q10,48_Q11,48_Q12,48_Q13,48_Q22,49_Q1,49_Q3,49_Q4,49_Q5,49_Q6,49_Q7,49_Q8,49_Q9,49_Q10,49_Q11,49_Q12,49_Q13,49_Q22,50_Q1,50_Q3,50_Q4,50_Q5,50_Q6,50_Q7,50_Q8,50_Q9,50_Q10,50_Q11,50_Q12,50_Q13,50_Q22,51_Q1,51_Q3,51_Q4,51_Q5,51_Q6,51_Q7,51_Q8,51_Q9,51_Q10,51_Q11,51_Q12,51_Q13,51_Q22,52_Q1,52_Q3,52_Q4,52_Q5,52_Q6,52_Q7,52_Q8,52_Q9,52_Q10,52_Q11,52_Q12,52_Q13,52_Q22,53_Q1,53_Q3,53_Q4,53_Q5,53_Q6,53_Q7,53_Q8,53_Q9,53_Q10,53_Q11,53_Q12,53_Q13,53_Q22,54_Q1,54_Q3,54_Q4,54_Q5,54_Q6,54_Q7,54_Q8,54_Q9,54_Q10,54_Q11,54_Q12,54_Q13,54_Q22,55_Q1,55_Q3,55_Q4,55_Q5,55_Q6,55_Q7,55_Q8,55_Q9,55_Q10,55_Q11,55_Q12,55_Q13,55_Q22,56_Q1,56_Q3,56_Q4,56_Q5,56_Q6,56_Q7,56_Q8,56_Q9,56_Q10,56_Q11,56_Q12,56_Q13,56_Q22,57_Q1,57_Q3,57_Q4,57_Q5,57_Q6,57_Q7,57_Q8,57_Q9,57_Q10,57_Q11,57_Q12,57_Q13,57_Q22,58_Q1,58_Q3,58_Q4,58_Q5,58_Q6,58_Q7,58_Q8,58_Q9,58_Q10,58_Q11,58_Q12,58_Q13,58_Q22,59_Q1,59_Q3,59_Q4,59_Q5,59_Q6,59_Q7,59_Q8,59_Q9,59_Q10,59_Q11,59_Q12,59_Q13,59_Q22,60_Q1,60_Q3,60_Q4,60_Q5,60_Q6,60_Q7,60_Q8,60_Q9,60_Q10,60_Q11,60_Q12,60_Q13,60_Q22,61_Q1,61_Q3,61_Q4,61_Q5,61_Q6,61_Q7,61_Q8,61_Q9,61_Q10,61_Q11,61_Q12,61_Q13,61_Q22,62_Q1,62_Q3,62_Q4,62_Q5,62_Q6,62_Q7,62_Q8,62_Q9,62_Q10,62_Q11,62_Q12,62_Q13,62_Q22,63_Q1,63_Q3,63_Q4,63_Q5,63_Q6,63_Q7,63_Q8,63_Q9,63_Q10,63_Q11,63_Q12,63_Q13,63_Q22,64_Q1,64_Q3,64_Q4,64_Q5,64_Q6,64_Q7,64_Q8,64_Q9,64_Q10,64_Q11,64_Q12,64_Q13,64_Q22,65_Q1,65_Q3,65_Q4,65_Q5,65_Q6,65_Q7,65_Q8,65_Q9,65_Q10,65_Q11,65_Q12,65_Q13,65_Q22,66_Q1,66_Q3,66_Q4,66_Q5,66_Q6,66_Q7,66_Q8,66_Q9,66_Q10,66_Q11,66_Q12,66_Q13,66_Q22,67_Q1,67_Q3,67_Q4,67_Q5,67_Q6,67_Q7,67_Q8,67_Q9,67_Q10,67_Q11,67_Q12,67_Q13,67_Q22,68_Q1,68_Q3,68_Q4,68_Q5,68_Q6,68_Q7,68_Q8,68_Q9,68_Q10,68_Q11,68_Q12,68_Q13,68_Q22,69_Q1,69_Q3,69_Q4,69_Q5,69_Q6,69_Q7,69_Q8,69_Q9,69_Q10,69_Q11,69_Q12,69_Q13,69_Q22,70_Q1,70_Q3,70_Q4,70_Q5,70_Q6,70_Q7,70_Q8,70_Q9,70_Q10,70_Q11,70_Q12,70_Q13,70_Q22,71_Q1,71_Q3,71_Q4,71_Q5,71_Q6,71_Q7,71_Q8,71_Q9,71_Q10,71_Q11,71_Q12,71_Q13,71_Q22,72_Q1,72_Q3,72_Q4,72_Q5,72_Q6,72_Q7,72_Q8,72_Q9,72_Q10,72_Q11,72_Q12,72_Q13,72_Q22,73_Q1,73_Q3,73_Q4,73_Q5,73_Q6,73_Q7,73_Q8,73_Q9,73_Q10,73_Q11,73_Q12,73_Q13,73_Q22,74_Q1,74_Q3,74_Q4,74_Q5,74_Q6,74_Q7,74_Q8,74_Q9,74_Q10,74_Q11,74_Q12,74_Q13,74_Q22,75_Q1,75_Q3,75_Q4,75_Q5,75_Q6,75_Q7,75_Q8,75_Q9,75_Q10,75_Q11,75_Q12,75_Q13,75_Q22,76_Q1,76_Q3,76_Q4,76_Q5,76_Q6,76_Q7,76_Q8,76_Q9,76_Q10,76_Q11,76_Q12,76_Q13,76_Q22,77_Q1,77_Q3,77_Q4,77_Q5,77_Q6,77_Q7,77_Q8,77_Q9,77_Q10,77_Q11,77_Q12,77_Q13,77_Q22,78_Q1,78_Q3,78_Q4,78_Q5,78_Q6,78_Q7,78_Q8,78_Q9,78_Q10,78_Q11,78_Q12,78_Q13,78_Q22,79_Q1,79_Q3,79_Q4,79_Q5,79_Q6,79_Q7,79_Q8,79_Q9,79_Q10,79_Q11,79_Q12,79_Q13,79_Q22,80_Q1,80_Q3,80_Q4,80_Q5,80_Q6,80_Q7,80_Q8,80_Q9,80_Q10,80_Q11,80_Q12,80_Q13,80_Q22,81_Q1,81_Q3,81_Q4,81_Q5,81_Q6,81_Q7,81_Q8,81_Q9,81_Q10,81_Q11,81_Q12,81_Q13,81_Q22,82_Q1,82_Q3,82_Q4,82_Q5,82_Q6,82_Q7,82_Q8,82_Q9,82_Q10,82_Q11,82_Q12,82_Q13,82_Q22,83_Q1,83_Q3,83_Q4,83_Q5,83_Q6,83_Q7,83_Q8,83_Q9,83_Q10,83_Q11,83_Q12,83_Q13,83_Q22,84_Q1,84_Q3,84_Q4,84_Q5,84_Q6,84_Q7,84_Q8,84_Q9,84_Q10,84_Q11,84_Q12,84_Q13,84_Q22,85_Q1,85_Q3,85_Q4,85_Q5,85_Q6,85_Q7,85_Q8,85_Q9,85_Q10,85_Q11,85_Q12,85_Q13,85_Q22,86_Q1,86_Q3,86_Q4,86_Q5,86_Q6,86_Q7,86_Q8,86_Q9,86_Q10,86_Q11,86_Q12,86_Q13,86_Q22,87_Q1,87_Q3,87_Q4,87_Q5,87_Q6,87_Q7,87_Q8,87_Q9,87_Q10,87_Q11,87_Q12,87_Q13,87_Q22,88_Q1,88_Q3,88_Q4,88_Q5,88_Q6,88_Q7,88_Q8,88_Q9,88_Q10,88_Q11,88_Q12,88_Q13,88_Q22,89_Q1,89_Q3,89_Q4,89_Q5,89_Q6,89_Q7,89_Q8,89_Q9,89_Q10,89_Q11,89_Q12,89_Q13,89_Q22,90_Q1,90_Q3,90_Q4,90_Q5,90_Q6,90_Q7,90_Q8,90_Q9,90_Q10,90_Q11,90_Q12,90_Q13,90_Q22,91_Q1,91_Q3,91_Q4,91_Q5,91_Q6,91_Q7,91_Q8,91_Q9,91_Q10,91_Q11,91_Q12,91_Q13,91_Q22,92_Q1,92_Q3,92_Q4,92_Q5,92_Q6,92_Q7,92_Q8,92_Q9,92_Q10,92_Q11,92_Q12,92_Q13,92_Q22,93_Q1,93_Q3,93_Q4,93_Q5,93_Q6,93_Q7,93_Q8,93_Q9,93_Q10,93_Q11,93_Q12,93_Q13,93_Q22,94_Q1,94_Q3,94_Q4,94_Q5,94_Q6,94_Q7,94_Q8,94_Q9,94_Q10,94_Q11,94_Q12,94_Q13,94_Q22,95_Q1,95_Q3,95_Q4,95_Q5,95_Q6,95_Q7,95_Q8,95_Q9,95_Q10,95_Q11,95_Q12,95_Q13,95_Q22,96_Q1,96_Q3,96_Q4,96_Q5,96_Q6,96_Q7,96_Q8,96_Q9,96_Q10,96_Q11,96_Q12,96_Q13,96_Q22,97_Q1,97_Q3,97_Q4,97_Q5,97_Q6,97_Q7,97_Q8,97_Q9,97_Q10,97_Q11,97_Q12,97_Q13,97_Q22,Q16,Q17
,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,7,7,4,4,3,1,7,5,2,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,5,6,2,1,6,2,7,4,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,7,2,1,5,5,4,3,6,5,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,6,3,7,4,5,6,1,1,5,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,4,1,4,5,1,1,7,7,4,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,5,4,2,1,4,4,4,2,1,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,5,3,6,6,7,2,4,7,6,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,7,4,7,7,3,7,2,1,4,4,6,4,2,,,,,,,,,,,,,,7,6,7,1,2,6,6,5,1,1,4,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,5,3,3,2,3,3,1,1,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,1
4,4,5,3,3,4,2,2,5,2,7,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,4,5,3,4,3,4,2,4,1,7,3,,,,,,,,,,,,,,4,3,4,6,7,3,3,7,2,2,7,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,1,5,1,1,2,3,5,1,7,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,6,5,3,4,3,3,5,2,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,3,1,7,1,5,2,6,7,1,4,4,,,,,,,,,,,,,,7,7,7,1,6,1,7,5,7,7,1,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,4,1,3,2,5,2,1,6,1,7,4,,,,,,,,,,,,,,7,2,5,7,1,6,2,7,3,6,6,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,6,5,4,1,1,3,4,5,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,1
3,5,3,4,4,4,4,3,4,4,2,4,4,,,,,,,,,,,,,,4,4,3,3,3,3,4,3,5,5,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,3,2,3,5,3,5,4,4,4,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,4,3,3,3,3,6,3,3,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,2,3,3,3,5,4,4,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,3,2,2,5,5,2,5,3,3,3,4,,,,,,,,,,,,,,4,3,4,4,3,2,3,3,3,4,3,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,3,3,2,6,4,2,5,4,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,5,5,3,4,3,4,3,3,5,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,3,2,3,4,3,3,5,3,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,1,1,2,1,1,5,2,2,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,1,1,2,3,3,3,2,3,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,1,1,6,4,3,5,3,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,3,1,2,4,4,2,2,3,1,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,5,3,4,5,4,4,4,4,3,4,4,2,4,2,2,2,5,5,3,2,3,1,2,3,1,1,1,1,1,1,4,1,3,1,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,1
